date,season,team,opp,event,crown_holder,crown_team,prev_holder,prev_team,gmsc,streak,total_games
2014-05-12,2014,MIA,BRK,transfer_loss,LeBron James,MIA,Joe Johnson,BRK,39.80,1,1
2014-05-14,2014,MIA,BRK,defend,LeBron James,MIA,LeBron James,MIA,23.10,2,2
2014-05-18,2014,IND,MIA,transfer_loss,Paul George,IND,LeBron James,MIA,19.40,1,1
2014-05-20,2014,MIA,IND,transfer_loss,Dwyane Wade,MIA,Paul George,IND,18.00,1,1
2014-05-24,2014,MIA,IND,transfer_teammate,LeBron James,MIA,Dwyane Wade,MIA,22.00,1,1
2014-05-26,2014,MIA,IND,defend,LeBron James,MIA,LeBron James,MIA,27.80,2,2
2014-05-28,2014,IND,MIA,transfer_loss,Paul George,IND,LeBron James,MIA,28.80,1,1
2014-05-30,2014,MIA,IND,transfer_loss,LeBron James,MIA,Paul George,IND,24.90,1,1
2014-06-05,2014,SAS,MIA,transfer_loss,Manu Ginóbili,SAS,LeBron James,MIA,20.70,1,1
2014-06-08,2014,MIA,SAS,transfer_loss,LeBron James,MIA,Manu Ginóbili,SAS,27.50,1,1
2014-06-10,2014,SAS,MIA,transfer_loss,Kawhi Leonard,SAS,LeBron James,MIA,27.30,1,1
2014-06-12,2014,SAS,MIA,defend,Kawhi Leonard,SAS,Kawhi Leonard,SAS,25.20,2,2
2014-06-15,2014,SAS,MIA,defend,Kawhi Leonard,SAS,Kawhi Leonard,SAS,18.90,3,3
2015-04-19,2015,LAC,SAS,transfer_loss,Chris Paul,LAC,Kawhi Leonard,SAS,26.90,1,1
2015-04-22,2015,SAS,LAC,transfer_loss,Tim Duncan,SAS,Chris Paul,LAC,23.30,1,1
2015-04-24,2015,SAS,LAC,transfer_teammate,Kawhi Leonard,SAS,Tim Duncan,SAS,30.30,1,1
2015-04-26,2015,LAC,SAS,transfer_loss,Chris Paul,LAC,Kawhi Leonard,SAS,28.60,1,1
2015-04-28,2015,SAS,LAC,transfer_loss,Tim Duncan,SAS,Chris Paul,LAC,23.10,1,1
2015-04-30,2015,LAC,SAS,transfer_loss,Blake Griffin,LAC,Tim Duncan,SAS,27.30,1,1
2015-05-02,2015,LAC,SAS,transfer_teammate,Chris Paul,LAC,Blake Griffin,LAC,27.60,1,1
2015-05-04,2015,LAC,HOU,transfer_teammate,Blake Griffin,LAC,Chris Paul,LAC,24.00,1,1
2015-05-06,2015,HOU,LAC,transfer_loss,Dwight Howard,HOU,Blake Griffin,LAC,24.00,1,1
2015-05-08,2015,LAC,HOU,transfer_loss,JJ Redick,LAC,Dwight Howard,HOU,27.20,1,1
2015-05-10,2015,LAC,HOU,transfer_teammate,DeAndre Jordan,LAC,JJ Redick,LAC,25.10,1,1
2015-05-12,2015,HOU,LAC,transfer_loss,Trevor Ariza,HOU,DeAndre Jordan,LAC,22.90,1,1
2015-05-14,2015,HOU,LAC,transfer_teammate,Dwight Howard,HOU,Trevor Ariza,HOU,19.00,1,1
2015-05-17,2015,HOU,LAC,transfer_teammate,James Harden,HOU,Dwight Howard,HOU,22.60,1,1
2015-05-19,2015,GSW,HOU,transfer_loss,Stephen Curry,GSW,James Harden,HOU,28.50,1,1
2015-05-21,2015,GSW,HOU,defend,Stephen Curry,GSW,Stephen Curry,GSW,22.40,2,2
2015-05-23,2015,GSW,HOU,defend,Stephen Curry,GSW,Stephen Curry,GSW,36.60,3,3
2015-05-25,2015,HOU,GSW,transfer_loss,James Harden,HOU,Stephen Curry,GSW,41.00,1,1
2015-05-27,2015,GSW,HOU,transfer_loss,Stephen Curry,GSW,James Harden,HOU,20.70,1,1
2015-06-04,2015,GSW,CLE,defend,Stephen Curry,GSW,Stephen Curry,GSW,20.40,2,2
2015-06-07,2015,CLE,GSW,transfer_loss,LeBron James,CLE,Stephen Curry,GSW,28.90,1,1
2015-06-09,2015,CLE,GSW,defend,LeBron James,CLE,LeBron James,CLE,31.60,2,2
2015-06-11,2015,GSW,CLE,transfer_loss,Draymond Green,GSW,LeBron James,CLE,17.50,1,1
2015-06-14,2015,GSW,CLE,transfer_teammate,Stephen Curry,GSW,Draymond Green,GSW,28.40,1,1
2015-06-16,2015,GSW,CLE,defend,Stephen Curry,GSW,Stephen Curry,GSW,20.30,2,2
2016-04-16,2016,GSW,HOU,defend,Stephen Curry,GSW,Stephen Curry,GSW,21.00,3,3
2016-04-18,2016,GSW,HOU,transfer_teammate,Klay Thompson,GSW,Stephen Curry,GSW,23.00,1,1
2016-04-21,2016,HOU,GSW,transfer_loss,James Harden,HOU,Klay Thompson,GSW,26.70,1,1
2016-04-24,2016,GSW,HOU,transfer_loss,Andre Iguodala,GSW,James Harden,HOU,21.00,1,1
2016-04-27,2016,GSW,HOU,transfer_teammate,Klay Thompson,GSW,Andre Iguodala,GSW,21.00,1,1
2016-05-01,2016,GSW,POR,transfer_teammate,Draymond Green,GSW,Klay Thompson,GSW,29.10,1,1
2016-05-03,2016,GSW,POR,transfer_teammate,Andre Iguodala,GSW,Draymond Green,GSW,17.80,1,1
2016-05-07,2016,POR,GSW,transfer_loss,Damian Lillard,POR,Andre Iguodala,GSW,32.60,1,1
2016-05-09,2016,GSW,POR,transfer_loss,Stephen Curry,GSW,Damian Lillard,POR,27.90,1,1
2016-05-11,2016,GSW,POR,transfer_teammate,Klay Thompson,GSW,Stephen Curry,GSW,25.70,1,1
2016-05-16,2016,OKC,GSW,transfer_loss,Russell Westbrook,OKC,Klay Thompson,GSW,27.70,1,1
2016-05-18,2016,GSW,OKC,transfer_loss,Stephen Curry,GSW,Russell Westbrook,OKC,21.80,1,1
2016-05-22,2016,OKC,GSW,transfer_loss,Kevin Durant,OKC,Stephen Curry,GSW,30.60,1,1
2016-05-24,2016,OKC,GSW,transfer_teammate,Russell Westbrook,OKC,Kevin Durant,OKC,32.50,1,1
2016-05-26,2016,GSW,OKC,transfer_loss,Stephen Curry,GSW,Russell Westbrook,OKC,26.90,1,1
2016-05-28,2016,GSW,OKC,defend,Stephen Curry,GSW,Stephen Curry,GSW,26.30,2,2
2016-05-30,2016,GSW,OKC,defend,Stephen Curry,GSW,Stephen Curry,GSW,28.50,3,3
2016-06-02,2016,GSW,CLE,transfer_teammate,Shaun Livingston,GSW,Stephen Curry,GSW,20.10,1,1
2016-06-05,2016,GSW,CLE,transfer_teammate,Draymond Green,GSW,Shaun Livingston,GSW,23.60,1,1
2016-06-08,2016,CLE,GSW,transfer_loss,LeBron James,CLE,Draymond Green,GSW,23.50,1,1
2016-06-10,2016,GSW,CLE,transfer_loss,Stephen Curry,GSW,LeBron James,CLE,29.20,1,1
2016-06-13,2016,CLE,GSW,transfer_loss,LeBron James,CLE,Stephen Curry,GSW,39.20,1,1
2016-06-16,2016,CLE,GSW,defend,LeBron James,CLE,LeBron James,CLE,42.50,2,2
2016-06-19,2016,CLE,GSW,defend,LeBron James,CLE,LeBron James,CLE,23.10,3,3
2017-04-15,2017,CLE,IND,defend,LeBron James,CLE,LeBron James,CLE,31.70,4,4
2017-04-17,2017,CLE,IND,transfer_teammate,Kevin Love,CLE,LeBron James,CLE,27.40,1,1
2017-04-20,2017,CLE,IND,transfer_teammate,LeBron James,CLE,Kevin Love,CLE,35.40,1,1
2017-04-23,2017,CLE,IND,defend,LeBron James,CLE,LeBron James,CLE,26.30,2,2
2017-05-01,2017,CLE,TOR,defend,LeBron James,CLE,LeBron James,CLE,28.20,3,3
2017-05-03,2017,CLE,TOR,defend,LeBron James,CLE,LeBron James,CLE,36.00,4,4
2017-05-05,2017,CLE,TOR,defend,LeBron James,CLE,LeBron James,CLE,29.90,5,5
2017-05-07,2017,CLE,TOR,transfer_teammate,Kyrie Irving,CLE,LeBron James,CLE,25.70,1,1
2017-05-17,2017,CLE,BOS,transfer_teammate,LeBron James,CLE,Kyrie Irving,CLE,33.60,1,1
2017-05-19,2017,CLE,BOS,defend,LeBron James,CLE,LeBron James,CLE,32.20,2,2
2017-05-21,2017,BOS,CLE,transfer_loss,Marcus Smart,BOS,LeBron James,CLE,27.10,1,1
2017-05-23,2017,CLE,BOS,transfer_loss,Kyrie Irving,CLE,Marcus Smart,BOS,32.10,1,1
2017-05-25,2017,CLE,BOS,transfer_teammate,LeBron James,CLE,Kyrie Irving,CLE,34.90,1,1
2017-06-01,2017,GSW,CLE,transfer_loss,Kevin Durant,GSW,LeBron James,CLE,33.70,1,1
2017-06-04,2017,GSW,CLE,defend,Kevin Durant,GSW,Kevin Durant,GSW,33.60,2,2
2017-06-07,2017,GSW,CLE,transfer_teammate,Stephen Curry,GSW,Kevin Durant,GSW,25.80,1,1
2017-06-09,2017,CLE,GSW,transfer_loss,Kyrie Irving,CLE,Stephen Curry,GSW,29.20,1,1
2017-06-12,2017,GSW,CLE,transfer_loss,Kevin Durant,GSW,Kyrie Irving,CLE,32.10,1,1
2018-04-14,2018,GSW,SAS,transfer_teammate,Klay Thompson,GSW,Kevin Durant,GSW,23.10,1,1
2018-04-16,2018,GSW,SAS,transfer_teammate,Kevin Durant,GSW,Klay Thompson,GSW,25.40,1,1
2018-04-19,2018,GSW,SAS,defend,Kevin Durant,GSW,Kevin Durant,GSW,19.40,2,2
2018-04-22,2018,SAS,GSW,transfer_loss,LaMarcus Aldridge,SAS,Kevin Durant,GSW,15.20,1,1
2018-04-24,2018,GSW,SAS,transfer_loss,Draymond Green,GSW,LaMarcus Aldridge,SAS,20.10,1,1
2018-04-28,2018,GSW,NOP,defend,Draymond Green,GSW,Draymond Green,GSW,25.70,2,2
2018-05-01,2018,GSW,NOP,defend,Draymond Green,GSW,Draymond Green,GSW,25.60,3,3
2018-05-04,2018,NOP,GSW,transfer_loss,Anthony Davis,NOP,Draymond Green,GSW,29.80,1,1
2018-05-06,2018,GSW,NOP,transfer_loss,Kevin Durant,GSW,Anthony Davis,NOP,31.00,1,1
2018-05-08,2018,GSW,NOP,transfer_teammate,Stephen Curry,GSW,Kevin Durant,GSW,24.70,1,1
2018-05-14,2018,GSW,HOU,transfer_teammate,Kevin Durant,GSW,Stephen Curry,GSW,24.20,1,1
2018-05-16,2018,HOU,GSW,transfer_loss,Eric Gordon,HOU,Kevin Durant,GSW,23.70,1,1
2018-05-20,2018,GSW,HOU,transfer_loss,Stephen Curry,GSW,Eric Gordon,HOU,26.30,1,1
2018-05-22,2018,HOU,GSW,transfer_loss,James Harden,HOU,Stephen Curry,GSW,22.20,1,1
2018-05-24,2018,HOU,GSW,transfer_teammate,Eric Gordon,HOU,James Harden,HOU,19.70,1,1
2018-05-26,2018,GSW,HOU,transfer_loss,Klay Thompson,GSW,Eric Gordon,HOU,30.70,1,1
2018-05-28,2018,GSW,HOU,transfer_teammate,Kevin Durant,GSW,Klay Thompson,GSW,27.40,1,1
2018-05-31,2018,GSW,CLE,transfer_teammate,Stephen Curry,GSW,Kevin Durant,GSW,24.00,1,1
2018-06-03,2018,GSW,CLE,transfer_teammate,Kevin Durant,GSW,Stephen Curry,GSW,25.00,1,1
2018-06-06,2018,GSW,CLE,defend,Kevin Durant,GSW,Kevin Durant,GSW,39.60,2,2
2018-06-08,2018,GSW,CLE,transfer_teammate,Stephen Curry,GSW,Kevin Durant,GSW,29.80,1,1
2019-04-13,2019,GSW,LAC,defend,Stephen Curry,GSW,Stephen Curry,GSW,36.50,2,2
2019-04-15,2019,LAC,GSW,transfer_loss,Lou Williams,LAC,Stephen Curry,GSW,30.60,1,1
2019-04-18,2019,GSW,LAC,transfer_loss,Kevin Durant,GSW,Lou Williams,LAC,29.10,1,1
2019-04-21,2019,GSW,LAC,defend,Kevin Durant,GSW,Kevin Durant,GSW,26.20,2,2
2019-04-24,2019,LAC,GSW,transfer_loss,Lou Williams,LAC,Kevin Durant,GSW,27.30,1,1
2019-04-26,2019,GSW,LAC,transfer_loss,Kevin Durant,GSW,Lou Williams,LAC,38.80,1,1
2019-04-28,2019,GSW,HOU,defend,Kevin Durant,GSW,Kevin Durant,GSW,19.20,2,2
2019-04-30,2019,GSW,HOU,transfer_teammate,Draymond Green,GSW,Kevin Durant,GSW,18.70,1,1
2019-05-04,2019,HOU,GSW,transfer_loss,James Harden,HOU,Draymond Green,GSW,28.30,1,1
2019-05-06,2019,HOU,GSW,defend,James Harden,HOU,James Harden,HOU,26.10,2,2
2019-05-08,2019,GSW,HOU,transfer_loss,Klay Thompson,GSW,James Harden,HOU,20.90,1,1
2019-05-10,2019,GSW,HOU,transfer_teammate,Stephen Curry,GSW,Klay Thompson,GSW,22.30,1,1
2019-05-14,2019,GSW,POR,defend,Stephen Curry,GSW,Stephen Curry,GSW,30.60,2,2
2019-05-16,2019,GSW,POR,defend,Stephen Curry,GSW,Stephen Curry,GSW,27.20,3,3
2019-05-18,2019,GSW,POR,transfer_teammate,Draymond Green,GSW,Stephen Curry,GSW,27.80,1,1
2019-05-20,2019,GSW,POR,transfer_teammate,Stephen Curry,GSW,Draymond Green,GSW,35.70,1,1
2019-05-30,2019,TOR,GSW,transfer_loss,Pascal Siakam,TOR,Stephen Curry,GSW,32.00,1,1
2019-06-02,2019,GSW,TOR,transfer_loss,Klay Thompson,GSW,Pascal Siakam,TOR,20.50,1,1
2019-06-05,2019,TOR,GSW,transfer_loss,Kawhi Leonard,TOR,Klay Thompson,GSW,26.60,1,1
2019-06-07,2019,TOR,GSW,defend,Kawhi Leonard,TOR,Kawhi Leonard,TOR,33.50,2,2
2019-06-10,2019,GSW,TOR,transfer_loss,Stephen Curry,GSW,Kawhi Leonard,TOR,23.00,1,1
2019-06-13,2019,TOR,GSW,transfer_loss,Kyle Lowry,TOR,Stephen Curry,GSW,25.50,1,1
2020-08-17,2020,TOR,BRK,transfer_teammate,Fred VanVleet,TOR,Kyle Lowry,TOR,32.70,1,1
2020-08-19,2020,TOR,BRK,transfer_teammate,Norman Powell,TOR,Fred VanVleet,TOR,19.50,1,1
2020-08-21,2020,TOR,BRK,transfer_teammate,Fred VanVleet,TOR,Norman Powell,TOR,20.70,1,1
2020-08-23,2020,TOR,BRK,transfer_teammate,Serge Ibaka,TOR,Fred VanVleet,TOR,28.90,1,1
2020-08-30,2020,BOS,TOR,transfer_loss,Kemba Walker,BOS,Serge Ibaka,TOR,19.20,1,1
2020-09-01,2020,BOS,TOR,transfer_teammate,Jayson Tatum,BOS,Kemba Walker,BOS,28.50,1,1
2020-09-03,2020,TOR,BOS,transfer_loss,Kyle Lowry,TOR,Jayson Tatum,BOS,24.90,1,1
2020-09-05,2020,TOR,BOS,defend,Kyle Lowry,TOR,Kyle Lowry,TOR,18.20,2,2
2020-09-07,2020,BOS,TOR,transfer_loss,Jaylen Brown,BOS,Kyle Lowry,TOR,21.40,1,1
2020-09-09,2020,TOR,BOS,transfer_loss,Kyle Lowry,TOR,Jaylen Brown,BOS,29.70,1,1
2020-09-11,2020,BOS,TOR,transfer_loss,Jayson Tatum,BOS,Kyle Lowry,TOR,21.70,1,1
2020-09-15,2020,MIA,BOS,transfer_loss,Goran Dragić,MIA,Jayson Tatum,BOS,22.70,1,1
2020-09-17,2020,MIA,BOS,transfer_teammate,Bam Adebayo,MIA,Goran Dragić,MIA,19.50,1,1
2020-09-19,2020,BOS,MIA,transfer_loss,Jaylen Brown,BOS,Bam Adebayo,MIA,24.20,1,1
2020-09-23,2020,MIA,BOS,transfer_loss,Tyler Herro,MIA,Jaylen Brown,BOS,30.40,1,1
2020-09-25,2020,BOS,MIA,transfer_loss,Jayson Tatum,BOS,Tyler Herro,MIA,23.80,1,1
2020-09-27,2020,MIA,BOS,transfer_loss,Bam Adebayo,MIA,Jayson Tatum,BOS,31.40,1,1
2020-09-30,2020,LAL,MIA,transfer_loss,Anthony Davis,LAL,Bam Adebayo,MIA,31.80,1,1
2020-10-02,2020,LAL,MIA,transfer_teammate,LeBron James,LAL,Anthony Davis,LAL,30.60,1,1
2020-10-04,2020,MIA,LAL,transfer_loss,Jimmy Butler,MIA,LeBron James,LAL,42.00,1,1
2020-10-06,2020,LAL,MIA,transfer_loss,LeBron James,LAL,Jimmy Butler,MIA,23.40,1,1
2020-10-09,2020,MIA,LAL,transfer_loss,Jimmy Butler,MIA,LeBron James,LAL,41.30,1,1
2020-10-11,2020,LAL,MIA,transfer_loss,LeBron James,LAL,Jimmy Butler,MIA,29.20,1,1
2021-05-23,2021,PHO,LAL,transfer_loss,Deandre Ayton,PHO,LeBron James,LAL,23.40,1,1
2021-05-25,2021,LAL,PHO,transfer_loss,Anthony Davis,LAL,Deandre Ayton,PHO,34.30,1,1
2021-05-27,2021,LAL,PHO,defend,Anthony Davis,LAL,Anthony Davis,LAL,22.60,2,2
2021-05-30,2021,PHO,LAL,transfer_loss,Chris Paul,PHO,Anthony Davis,LAL,20.50,1,1
2021-06-01,2021,PHO,LAL,transfer_teammate,Devin Booker,PHO,Chris Paul,PHO,23.50,1,1
2021-06-03,2021,PHO,LAL,defend,Devin Booker,PHO,Devin Booker,PHO,39.90,2,2
2021-06-07,2021,PHO,DEN,transfer_teammate,Mikal Bridges,PHO,Devin Booker,PHO,24.50,1,1
2021-06-09,2021,PHO,DEN,transfer_teammate,Chris Paul,PHO,Mikal Bridges,PHO,24.70,1,1
2021-06-11,2021,PHO,DEN,defend,Chris Paul,PHO,Chris Paul,PHO,27.80,2,2
2021-06-13,2021,PHO,DEN,defend,Chris Paul,PHO,Chris Paul,PHO,34.30,3,3
2021-06-20,2021,PHO,LAC,transfer_teammate,Devin Booker,PHO,Chris Paul,PHO,34.50,1,1
2021-06-22,2021,PHO,LAC,transfer_teammate,Cameron Payne,PHO,Devin Booker,PHO,26.20,1,1
2021-06-24,2021,LAC,PHO,transfer_loss,Ivica Zubac,LAC,Cameron Payne,PHO,20.50,1,1
2021-06-26,2021,PHO,LAC,transfer_loss,Deandre Ayton,PHO,Ivica Zubac,LAC,23.90,1,1
2021-06-28,2021,LAC,PHO,transfer_loss,Paul George,LAC,Deandre Ayton,PHO,37.30,1,1
2021-06-30,2021,PHO,LAC,transfer_loss,Chris Paul,PHO,Paul George,LAC,39.60,1,1
2021-07-06,2021,PHO,MIL,defend,Chris Paul,PHO,Chris Paul,PHO,30.40,2,2
2021-07-08,2021,PHO,MIL,transfer_teammate,Mikal Bridges,PHO,Chris Paul,PHO,22.90,1,1
2021-07-11,2021,MIL,PHO,transfer_loss,Giannis Antetokounmpo,MIL,Mikal Bridges,PHO,37.40,1,1
2021-07-14,2021,MIL,PHO,defend,Giannis Antetokounmpo,MIL,Giannis Antetokounmpo,MIL,29.50,2,2
2021-07-17,2021,MIL,PHO,transfer_teammate,Jrue Holiday,MIL,Giannis Antetokounmpo,MIL,28.60,1,1
2021-07-20,2021,MIL,PHO,transfer_teammate,Giannis Antetokounmpo,MIL,Jrue Holiday,MIL,42.00,1,1
2022-04-17,2022,MIL,CHI,defend,Giannis Antetokounmpo,MIL,Giannis Antetokounmpo,MIL,18.20,2,2
2022-04-20,2022,CHI,MIL,transfer_loss,DeMar DeRozan,CHI,Giannis Antetokounmpo,MIL,29.80,1,1
2022-04-22,2022,MIL,CHI,transfer_loss,Grayson Allen,MIL,DeMar DeRozan,CHI,20.30,1,1
2022-04-24,2022,MIL,CHI,transfer_teammate,Giannis Antetokounmpo,MIL,Grayson Allen,MIL,26.80,1,1
2022-04-27,2022,MIL,CHI,defend,Giannis Antetokounmpo,MIL,Giannis Antetokounmpo,MIL,28.50,2,2
2022-05-01,2022,MIL,BOS,transfer_teammate,Jrue Holiday,MIL,Giannis Antetokounmpo,MIL,21.00,1,1
2022-05-03,2022,BOS,MIL,transfer_loss,Jaylen Brown,BOS,Jrue Holiday,MIL,28.90,1,1
2022-05-07,2022,MIL,BOS,transfer_loss,Giannis Antetokounmpo,MIL,Jaylen Brown,BOS,35.00,1,1
2022-05-09,2022,BOS,MIL,transfer_loss,Al Horford,BOS,Giannis Antetokounmpo,MIL,26.80,1,1
2022-05-11,2022,MIL,BOS,transfer_loss,Giannis Antetokounmpo,MIL,Al Horford,BOS,25.20,1,1
2022-05-13,2022,BOS,MIL,transfer_loss,Jayson Tatum,BOS,Giannis Antetokounmpo,MIL,31.00,1,1
2022-05-15,2022,BOS,MIL,transfer_teammate,Grant Williams,BOS,Jayson Tatum,BOS,16.20,1,1
2022-05-17,2022,MIA,BOS,transfer_loss,Jimmy Butler,MIA,Grant Williams,BOS,43.20,1,1
2022-05-19,2022,BOS,MIA,transfer_loss,Marcus Smart,BOS,Jimmy Butler,MIA,26.00,1,1
2022-05-21,2022,MIA,BOS,transfer_loss,Bam Adebayo,MIA,Marcus Smart,BOS,32.10,1,1
2022-05-23,2022,BOS,MIA,transfer_loss,Jayson Tatum,BOS,Bam Adebayo,MIA,26.10,1,1
2022-05-25,2022,BOS,MIA,transfer_teammate,Al Horford,BOS,Jayson Tatum,BOS,18.60,1,1
2022-05-27,2022,MIA,BOS,transfer_loss,Jimmy Butler,MIA,Al Horford,BOS,45.90,1,1
2022-05-29,2022,BOS,MIA,transfer_loss,Jayson Tatum,BOS,Jimmy Butler,MIA,21.30,1,1
2022-06-02,2022,BOS,GSW,transfer_teammate,Al Horford,BOS,Jayson Tatum,BOS,23.30,1,1
2022-06-05,2022,GSW,BOS,transfer_loss,Stephen Curry,GSW,Al Horford,BOS,22.30,1,1
2022-06-08,2022,BOS,GSW,transfer_loss,Jaylen Brown,BOS,Stephen Curry,GSW,24.30,1,1
2022-06-10,2022,GSW,BOS,transfer_loss,Stephen Curry,GSW,Jaylen Brown,BOS,30.40,1,1
2022-06-13,2022,GSW,BOS,transfer_teammate,Andrew Wiggins,GSW,Stephen Curry,GSW,20.90,1,1
2022-06-16,2022,GSW,BOS,transfer_teammate,Stephen Curry,GSW,Andrew Wiggins,GSW,30.20,1,1
2023-04-15,2023,SAC,GSW,transfer_loss,De'Aaron Fox,SAC,Stephen Curry,GSW,25.70,1,1
2023-04-17,2023,SAC,GSW,defend,De'Aaron Fox,SAC,De'Aaron Fox,SAC,21.20,2,2
2023-04-20,2023,GSW,SAC,transfer_loss,Stephen Curry,GSW,De'Aaron Fox,SAC,27.70,1,1
2023-04-23,2023,GSW,SAC,defend,Stephen Curry,GSW,Stephen Curry,GSW,24.10,2,2
2023-04-26,2023,GSW,SAC,transfer_teammate,Draymond Green,GSW,Stephen Curry,GSW,21.80,1,1
2023-04-28,2023,SAC,GSW,transfer_loss,De'Aaron Fox,SAC,Draymond Green,GSW,24.60,1,1
2023-04-30,2023,GSW,SAC,transfer_loss,Stephen Curry,GSW,De'Aaron Fox,SAC,36.80,1,1
2023-05-02,2023,LAL,GSW,transfer_loss,Anthony Davis,LAL,Stephen Curry,GSW,34.10,1,1
2023-05-04,2023,GSW,LAL,transfer_loss,Klay Thompson,GSW,Anthony Davis,LAL,21.60,1,1
2023-05-06,2023,LAL,GSW,transfer_loss,Anthony Davis,LAL,Klay Thompson,GSW,28.40,1,1
2023-05-08,2023,LAL,GSW,defend,Anthony Davis,LAL,Anthony Davis,LAL,21.70,2,2
2023-05-10,2023,GSW,LAL,transfer_loss,Andrew Wiggins,GSW,Anthony Davis,LAL,21.60,1,1
2023-05-12,2023,LAL,GSW,transfer_loss,LeBron James,LAL,Andrew Wiggins,GSW,31.90,1,1
2023-05-16,2023,DEN,LAL,transfer_loss,Nikola Jokić,DEN,LeBron James,LAL,39.80,1,1
2023-05-18,2023,DEN,LAL,transfer_teammate,Jamal Murray,DEN,Nikola Jokić,DEN,32.10,1,1
2023-05-20,2023,DEN,LAL,defend,Jamal Murray,DEN,Jamal Murray,DEN,29.20,2,2
2023-05-22,2023,DEN,LAL,transfer_teammate,Nikola Jokić,DEN,Jamal Murray,DEN,29.80,1,1
2023-06-01,2023,DEN,MIA,defend,Nikola Jokić,DEN,Nikola Jokić,DEN,33.10,2,2
2023-06-04,2023,MIA,DEN,transfer_loss,Gabe Vincent,MIA,Nikola Jokić,DEN,19.30,1,1
2023-06-07,2023,DEN,MIA,transfer_loss,Nikola Jokić,DEN,Gabe Vincent,MIA,32.60,1,1
2023-06-09,2023,DEN,MIA,transfer_teammate,Aaron Gordon,DEN,Nikola Jokić,DEN,24.60,1,1
2023-06-12,2023,DEN,MIA,transfer_teammate,Nikola Jokić,DEN,Aaron Gordon,DEN,24.30,1,1
2024-04-20,2024,DEN,LAL,defend,Nikola Jokić,DEN,Nikola Jokić,DEN,32.00,2,2
2024-04-22,2024,DEN,LAL,defend,Nikola Jokić,DEN,Nikola Jokić,DEN,32.20,3,3
2024-04-25,2024,DEN,LAL,transfer_teammate,Aaron Gordon,DEN,Nikola Jokić,DEN,28.40,1,1
2024-04-27,2024,LAL,DEN,transfer_loss,Anthony Davis,LAL,Aaron Gordon,DEN,27.50,1,1
2024-04-29,2024,DEN,LAL,transfer_loss,Michael Porter Jr.,DEN,Anthony Davis,LAL,22.10,1,1
2024-05-04,2024,MIN,DEN,transfer_loss,Anthony Edwards,MIN,Michael Porter Jr.,DEN,35.50,1,1
2024-05-06,2024,MIN,DEN,transfer_teammate,Karl-Anthony Towns,MIN,Anthony Edwards,MIN,24.40,1,1
2024-05-10,2024,DEN,MIN,transfer_loss,Nikola Jokić,DEN,Karl-Anthony Towns,MIN,28.00,1,1
2024-05-12,2024,DEN,MIN,transfer_teammate,Aaron Gordon,DEN,Nikola Jokić,DEN,28.90,1,1
2024-05-14,2024,DEN,MIN,transfer_teammate,Nikola Jokić,DEN,Aaron Gordon,DEN,43.30,1,1
2024-05-16,2024,MIN,DEN,transfer_loss,Anthony Edwards,MIN,Nikola Jokić,DEN,23.10,1,1
2024-05-19,2024,MIN,DEN,transfer_teammate,Jaden McDaniels,MIN,Anthony Edwards,MIN,23.60,1,1
2024-05-22,2024,DAL,MIN,transfer_loss,Luka Dončić,DAL,Jaden McDaniels,MIN,25.50,1,1
2024-05-24,2024,DAL,MIN,defend,Luka Dončić,DAL,Luka Dončić,DAL,28.40,2,2
2024-05-26,2024,DAL,MIN,defend,Luka Dončić,DAL,Luka Dončić,DAL,30.10,3,3
2024-05-28,2024,MIN,DAL,transfer_loss,Mike Conley,MIN,Luka Dončić,DAL,19.10,1,1
2024-05-30,2024,DAL,MIN,transfer_loss,Luka Dončić,DAL,Mike Conley,MIN,29.50,1,1
2024-06-06,2024,BOS,DAL,transfer_loss,Jaylen Brown,BOS,Luka Dončić,DAL,19.90,1,1
2024-06-09,2024,BOS,DAL,transfer_teammate,Jrue Holiday,BOS,Jaylen Brown,BOS,28.10,1,1
2024-06-12,2024,BOS,DAL,transfer_teammate,Jaylen Brown,BOS,Jrue Holiday,BOS,23.90,1,1
2024-06-14,2024,DAL,BOS,transfer_loss,Luka Dončić,DAL,Jaylen Brown,BOS,20.60,1,1
2024-06-17,2024,BOS,DAL,transfer_loss,Jayson Tatum,BOS,Luka Dončić,DAL,28.30,1,1
2025-04-20,2025,BOS,ORL,transfer_teammate,Derrick White,BOS,Jayson Tatum,BOS,24.80,1,1
2025-04-23,2025,BOS,ORL,transfer_teammate,Jaylen Brown,BOS,Derrick White,BOS,31.20,1,1
2025-04-25,2025,ORL,BOS,transfer_loss,Franz Wagner,ORL,Jaylen Brown,BOS,23.40,1,1
2025-04-27,2025,BOS,ORL,transfer_loss,Jayson Tatum,BOS,Franz Wagner,ORL,30.80,1,1
2025-04-29,2025,BOS,ORL,defend,Jayson Tatum,BOS,Jayson Tatum,BOS,35.40,2,2
2025-05-05,2025,NYK,BOS,transfer_loss,OG Anunoby,NYK,Jayson Tatum,BOS,19.90,1,1
2025-05-07,2025,NYK,BOS,transfer_teammate,Josh Hart,NYK,OG Anunoby,NYK,19.00,1,1
2025-05-10,2025,BOS,NYK,transfer_loss,Payton Pritchard,BOS,Josh Hart,NYK,18.20,1,1
2025-05-12,2025,NYK,BOS,transfer_loss,Jalen Brunson,NYK,Payton Pritchard,BOS,34.80,1,1
