date,season,team,opp,event,crown_holder,crown_team,prev_holder,prev_team,gmsc,streak,total_games
2005-06-19,2005,SAS,DET,transfer_loss,Tim Duncan,SAS,Lindsey Hunter,DET,19.30,1,1
2005-06-21,2005,DET,SAS,transfer_loss,Chauncey Billups,DET,Tim Duncan,SAS,17.40,1,1
2005-06-23,2005,SAS,DET,transfer_loss,Manu Ginóbili,SAS,Chauncey Billups,DET,18.20,1,1
2006-04-22,2006,SAS,SAC,transfer_teammate,Tony Parker,SAS,Manu Ginóbili,SAS,22.40,1,1
2006-04-25,2006,SAS,SAC,transfer_teammate,Manu Ginóbili,SAS,Tony Parker,SAS,27.10,1,1
2006-04-28,2006,SAC,SAS,transfer_loss,Metta World Peace,SAC,Manu Ginóbili,SAS,18.80,1,1
2006-04-30,2006,SAC,SAS,transfer_teammate,Bonzi Wells,SAC,Metta World Peace,SAC,24.30,1,1
2006-05-02,2006,SAS,SAC,transfer_loss,Manu Ginóbili,SAS,Bonzi Wells,SAC,22.90,1,1
2006-05-05,2006,SAS,SAC,transfer_teammate,Tony Parker,SAS,Manu Ginóbili,SAS,23.90,1,1
2006-05-07,2006,SAS,DAL,transfer_teammate,Tim Duncan,SAS,Tony Parker,SAS,22.90,1,1
2006-05-09,2006,DAL,SAS,transfer_loss,Josh Howard,DAL,Tim Duncan,SAS,23.90,1,1
2006-05-13,2006,DAL,SAS,transfer_teammate,Dirk Nowitzki,DAL,Josh Howard,DAL,26.80,1,1
2006-05-15,2006,DAL,SAS,transfer_teammate,Jason Terry,DAL,Dirk Nowitzki,DAL,23.60,1,1
2006-05-17,2006,SAS,DAL,transfer_loss,Tim Duncan,SAS,Jason Terry,DAL,33.20,1,1
2006-05-19,2006,SAS,DAL,transfer_teammate,Manu Ginóbili,SAS,Tim Duncan,SAS,27.70,1,1
2006-05-22,2006,DAL,SAS,transfer_loss,Dirk Nowitzki,DAL,Manu Ginóbili,SAS,34.90,1,1
2006-05-24,2006,PHO,DAL,transfer_loss,Steve Nash,PHO,Dirk Nowitzki,DAL,28.10,1,1
2006-05-26,2006,DAL,PHO,transfer_loss,Dirk Nowitzki,DAL,Steve Nash,PHO,28.50,1,1
2006-05-28,2006,DAL,PHO,defend,Dirk Nowitzki,DAL,Dirk Nowitzki,DAL,27.10,2,2
2006-05-30,2006,PHO,DAL,transfer_loss,Leandro Barbosa,PHO,Dirk Nowitzki,DAL,19.90,1,1
2006-06-01,2006,DAL,PHO,transfer_loss,Dirk Nowitzki,DAL,Leandro Barbosa,PHO,42.30,1,1
2006-06-03,2006,DAL,PHO,defend,Dirk Nowitzki,DAL,Dirk Nowitzki,DAL,20.60,2,2
2006-06-08,2006,DAL,MIA,transfer_teammate,Jason Terry,DAL,Dirk Nowitzki,DAL,27.70,1,1
2006-06-11,2006,DAL,MIA,transfer_teammate,Dirk Nowitzki,DAL,Jason Terry,DAL,25.20,1,1
2006-06-13,2006,MIA,DAL,transfer_loss,Dwyane Wade,MIA,Dirk Nowitzki,DAL,32.50,1,1
2006-06-15,2006,MIA,DAL,defend,Dwyane Wade,MIA,Dwyane Wade,MIA,24.70,2,2
